title,company,salary,location,summary
newProductivity Improvement Analyst,Burberry,,London,"
Utilise large volume of internal & external data sources in model development & data analysis.
Strong analytical ability with data retrieval and manipulation.
"
newData Protection Analyst,Dogs Trust,"£40,000 a year",London,"
To be successful in this role you will have experience in data mapping, creating a Record of Processing Activities (ROPA), promoting a data protection culture,…
"
newData Analyst,Fast Data Analytics and Security LTD,"£20,301 - £35,000 a year",London EC1R 5HL•Temporarily Remote,"
Work with data scientists to build insights based on the data on hand and theme of the study.
Build effective and visually rich presentation to represent data…
"
Junior Data Analyst,Sweaty Betty,,London SW6,"
Prior experience within CRM and Digital Marketing, Google Analytics, Power BI and data models or reporting packages.
50% off all Sweaty Betty merchandise.
"
newData Protection Analyst (Part-time - 3 days per week),Octopus,,London EC1N,"
Manage data leak prevention tools and processes.
Review data protection related policies and procedures.
Review 3rd party data protection terms/addendums.
"
Data Analyst,ARENKO GROUP,,London,"
Extract meaningful insights and knowledge from data.
3+ years of industry experience in an analyst or similar position.
25 days annual leave (+ bank holidays).
"
"newFinance Analyst, Regional Business Finance",Google,,London,"
Experience in analytical and data environments.
Familiarity with Google tools, data infrastructure, and SQL.
Ability to communicate with executive management.
"
newAnalyst,FMA,"£27,000 - £30,000 a year",London,"
Ensure data is in a format which is manageable and useful;
Conduct thorough data analysis and interpretation with rigour and drive to uncover the insights that…
"
newData Analyst,BT,,London,"
Ideally >5 years previous practical experience working with data across the data lifecycle.
Understanding of data cleansing & data maintenance experience at…
"
Information Analyst,OPEN DOOR YOUNG PEOPLE'S CONSULTATION SERVICE,"£28,000 - £30,000 a year",London N8 8PL•Remote,"
Monitoring & evaluation through data analysis is vital for:
Responsible for the data integrity and quality/compliance of the core informatics systems.
"
newJunior Data Analyst (12 month FTC),"The Ogilvy Group, LLC",,London SE1,"
Technical data skills – SQL, Python, R.
Left and right brained: demonstrate creativity in data analysis and understanding.
"
Junior Analyst,CriterionCapital,"£25,000 - £27,000 a year",London SW1Y 6HD,"
Collation and formatting of disparate data.
Knowledge of Excel with excellent attention to detail and problem-solving ability, as well as a working knowledge of…
"
newData Analyst,SquareMileConsulting,"£36,000 - £52,022 a year",London WC2E 9LY•Temporarily Remote,"
Perhaps an analyst or developer wanting to learn about big data AI and Cyber.
Develop ideas on how data can be used and when an application of data is…
"
Fraud Data Analyst,Asos.com,,Watford,"
Experience within performing data analysis.
Experience working within a data intensive environment.
Ability to transform data analysis into defined actions and…
"
newData Analyst H/F,Dataworks,"Up to £45,000 a year",London•Remote,"
Clean and sort data in order to make it usable.
Acquire and sort data from a variety of primary and secondary sources and maintain internal databases.
"
Fraud Data Analyst,Asos.com,,Watford,"
Experience within performing data analysis.
Experience working within a data intensive environment.
Ability to transform data analysis into defined actions and…
"
newData Analyst H/F,Dataworks,"Up to £45,000 a year",London•Remote,"
Clean and sort data in order to make it usable.
Acquire and sort data from a variety of primary and secondary sources and maintain internal databases.
"
"Analyst, Strategic Initiatives, Office of the Global CIO, Gl...",Deloitte,,London,"
Support data analysis, data management and visualization components of high priority and visible OCIO projects.
The role can be worked on a full-time basis.
"
newData Analyst,Decision Architects,"£22,000 - £27,500 a year",London•Remote,"
Experience of working with survey data.
With a background in statistics and experienced in the practical use of data and modelling techniques to solve real…
"
newData Analyst (Full-Time or Part-Time),Eat Work Art,,London,"
The primary objective of this role is to analyse and visualise EWA’s extensive CRM data, with the objective of presenting clear data-driven insights which the…
"
newAnalyst (Entry Level),Ishka Limited,,London SW1W•Remote,"
We are looking for curious and intelligent analysts and journalists who can demonstrate an ability to network to source and break hard news combined with a…
"
newData Analyst,Rise Technical Recruitment Limited,"£30,000 - £45,000 a year",Hackney,"
You will display data on both Google Sheets and SugarCRM, helping marketing, sales, and management make better business decisions.
"
Data Analyst,Deutsche Bank,,London,"
You will be monitoring and reporting on Data Quality exceptions across all party data feeds working with the a wide variety of stakeholders including the…
"
Data Analyst,London Borough of Camden,"£34,033 a year",London,"
You will also be required to support with data returns for national programmes to the relevant government departments.
"
Data Management Analyst (Entry-Level Role),Incubeta,"£22,000 a year",London,"
An analytical mind who has a real passion for data who can work with large data sets and manipulate, interpret, and explain it.
"
newGraduate Data Analyst,First Global Events Agency,,London SE1 1YT,"
Strong SQL and data presentation skills.
3+ years experience with a strong background in data analysis and stakeholder management.
"
Business Analyst,Wandle Housing Association Ltd,"£40,000 - £45,000 a year",London SE1 9BB,"
Analyse data to support requirements for projects.
At least 3 years business analyst experience in a similar role.
Facilitate a successful release handover.
"
newJunior Reporting Analyst,Citywire,,London SE11 5HJ,"
Managing the data collection platform to gather data and create client reports for the sales team.
Implementing regular data checks for ongoing campaigns.
"
Research Data Analyst,St. George's University of London,"£34,304 - £36,382 a year",London,"
A sound understanding and knowledge of data protection legislation and the ability to handle sensitive data.
Demonstrative knowledge of working with statistical…
"
newData Assurance Analyst,L&Q,,West Ham•Temporarily Remote,"
The Data Quality Assurance Analyst role is offering a challenging opportunity for a candidate with strong Data Quality skills and experience gained on data…
"
newBusiness Analyst,PwC,,London•Remote,"
Analyse, cleanse and visualise data to identify trends and make decisions.
We provide mobile, flexible and skilled resources to undertake 'execution' type work…
"
newGIS Analyst,Eurovia UK,,Greater London,"
Undertake analysis of available highways asset maintenance data to enrich data sets, identify trends.
To maintain TfL’s asset management system and data,…
"
Research Associate in Data Analytics,King's College London,"£41,517 a year",London,"
To collect and analyse service utilisation data from multiple NHS settings (e.g. data around admissions or transfers).
Care or management of resources.
"
Data Visualisation Analyst,Pollen,,London,"
Because the European Union Commission has determined that United States data privacy laws do not ensure an adequate level of protection for personal data…
"
newFinance Analyst,Robert Half,"£40,000 - £45,000 a year",London,"
Ensure integrity of the balance sheet using data analysis techniques.
Ensure integrity of the monthly/forecast/budget figures using data analysis techniques.
"
Financial Crime Data Analytics - Analyst,KPMG,,London,"
This exciting role will fully utilise your existing programming, data analysis and data management skills.
Our specialisation is data analytics in the financial…
"
newData Analyst,Hyperloop Solutions,"£30,000 - £35,000 a year",West London•Remote,"
Experience using data to generate business insights, analysis and improvements.
Experience using data visualisation tools such as Tableau and PowerBI, ideally…
"
newData Analyst,Aviva,,London,"
Experience using visualization techniques for presenting data & analysis.
Support the ongoing development of the Analytics Platform, feeding requirements based…
"
Analyst,Nesta,"£31,000 - £42,000 a year",London•Remote,"
Visual communication skills (e.g. advanced PowerPoint, data visualisation).
You should be familiar with quantitative methods, comfortable working with data and…
"
newData Analyst,Lanistar,"£20,303 - £30,000 a year",London W6 9NA,"
Acquire data from primary or secondary data sources and maintain databases/data systems.
Acquiring data from primary or secondary data sources and maintaining…
"
newData Business Analyst,Synapri,£400 - £450 a day,London,"
Identifying data sources across the charity.
Data BA will identify old world and new world data processes.
The BA will be responsible for Data Definitions and…
"
Business Analyst Degree Apprentice Scheme - Level 6,BBC,"£15,074 a year",London,"
Want to work in a data driven department, for example in business intelligence, data assurance, data quality, commercial, technology services.
"
newData Analyst,Bought By Many and ManyPets,,London•Remote,"
Experience of analysing business databases and turning data insights into actionable activities.
Integrating Claims data with our other datasets, to provide…
"
"Graduate Analyst, Strategy & Analytics (immediate start)",AlphaSights Ltd.,,London•Remote,"
Effectively manage data requirements across functions, build dashboards which showcase management information relevant to commercial business segments, and help…
"
Data Analyst,Boston Hale,"£30,000 - £35,000 a year",London,"
The successful candidate will be liaising with colleagues and stakeholders to define data goals, and ensure the right targeted data is delivered.
"
"Graduate Analyst, Strategy & Analytics (immediate start)",AlphaSights Ltd.,,London•Remote,"
Effectively manage data requirements across functions, build dashboards which showcase management information relevant to commercial business segments, and help…
"
Data Analyst,Boston Hale,"£30,000 - £35,000 a year",London,"
The successful candidate will be liaising with colleagues and stakeholders to define data goals, and ensure the right targeted data is delivered.
"
Junior Data Governance Analyst,News UK Ltd,,London SE1 9GF,"
Consisting of four specialist areas - data strategy, data analytics, customer insight and data governance - the Data Hub is driven by passionate and trusted…
"
Data and Research Analyst - Stop The Traffik,Oasis Charitable Trust,"£24,007 a year",London SE1 7QP•Temporarily Remote,"
1 Year Fixed Term Contract*.
Full-time (40 hours per week inc breaks)*.
£24,007 per annum **(inc. London Allowance) *.
Job Types: Full-time, Fixed term.
"
Graduate Insight Analyst - Sports,Gamesys,,London,"
Use SQL to produce in-depth analysis of data from multiple sources, to understand patterns in customer behaviour and provide actionable recommendations.
"
newData Analyst - Customer Insights - REMOTE,IIRIS,,London SE1•Remote,"
Excellent understanding of enterprise data warehousing principles, data management concepts and ETL solutions.
Collect and compile data from different sources.
"
newMarketing Data Analyst,z1nc,"£30,000 - £50,000 a year",London SW1W•Temporarily Remote,"
Previous experience in a data analyst role.
Following the development and performing the necessary checks on data.
Tools of the Marketing department.
"
Risk Analyst,Bupa,"£45,000 a year",London,"
Able to manage complex and a high level of data and information and deliver operationally.
Within this framework, the ERM Risk Analyst will assist with the…
"
newData Scientist/ Analyst,Tortoise Media,"£35,000 - £55,000 a year",London W1T 3LP•Temporarily Remote,"
Enthusiasm for communicating with data and visualising it.
Refine and improve our data collection and analysis tools.
1+ years’ experience working in Python.
"
Graduate Data Analyst,GlobalData Plc.,,London WC2R•Temporarily Remote,"
Create and update internal data dashboards to present data & insight in a meaningful and compelling way.
An interest to develop complex data analysis skills.
"
newData and Performance Analyst - EV,bp,,London,"
Experience in business development and/or data analysis in customer facing businesses.
Being digitally enabled and empowered by customer insights and data to…
"
Data & Credit Analyst,Reorg Research,,London,"
Collaboratively work alongside the other data & credit analysts to support coverage.
Among other perks, Reorg employees enjoy competitive health benefits, a…
"
newData Analyst,The Royal College of Anaesthetists,"£32,200 - £34,300 a year",London WC1R 4SG,"
You will have a background in data analysis and experience in producing reports and creating graphical representations of data.
"
newBusiness and Process Analyst - EV,bp,,London,"
Being digitally enabled and empowered by customer insights and data to deliver solutions.
As Business and Process analyst you will ensure on-time delivery of…
"
newData Analyst - Fintech,Future • Finance,,London WC2E,"
Financial services data analytics experience.
Assess the effectiveness and accuracy of data sources and data gathering techniques, including from external…
"
Data Analyst,YourParkingSpace,"£35,000 - £45,000 a year",London E14,"
Reporting to our Head of Data, as a Data Analyst you will have a key role within the team producing data visualisations, compiling reports and analysing the…
"
Intern - Data Analyst,Pearson,,London,"
Support in the role, in job training and professional development will be provided to enable you to contribute to the business.
"
newDigital Business Analyst,Virgin Media,,London,"
You’ll work closely with squad members to ensure processes are clear and support in analysing data to identify opportunities within our customer base.
"
Analyst,London Borough of Camden,"£34,033 a year",London,"
You should be highly numerate and literate and have experience of data analysis and visualisations.
As an Analyst you will provide insight in order to support…
"
newResearch Analyst - UK Social and Economic Policy,Ecorys,"£21,500 - £23,000 a year",London EC3R 8AD,"
This includes developing research questions and analysis plans, designing and implementing data collection (e.g. surveys), and undertaking statistical analysis …
"
Retail Banking Data & Analytics Analyst - Expert Summer Inte...,Barclays,,London E14,"
A bank that knows its customers and clients, champions innovation and thinks digital first, offers trusted money management guidance and support, and provides…
"
newData Analyst,Rise Technical Recruitment Limited,"£30,000 - £45,000 a year",Hackney,"
You will display data on both Google Sheets and SugarCRM, helping marketing, sales, and management make better business decisions.
"
Analyst - Data Insights,Legal & General Group Plc.,"£35,000 - £45,000 a year",London,"
Maintaining detailed understanding of all current and future clients’ data and analytics requirements whilst promoting a scalable data service model within the…
"
newData Analytics Graduate,Vantage Point Global,,London EC1M 5UJ,"
Graduate from either a data-driven degree or with equivalent experience.
Using a variety of methodologies, tools and techniques, you will get a deep…
"
newBusiness Analyst,Anmut,"£30,000 a year",London SE1,"
Exposure to data and analytics.
Some coding ability in Python or R or experience with data visualisation tools such as PowerBI or Tableau is a bonus.
"
newData Analyst,IIRIS,,London SE1,"
Performing analysis to assess quality and meaning of data, and interpret trends or patterns in complex data sets, perform necessary data validations.
"
Trade and Transaction reporting Analyst,AMS,From £500 a day,London,"
The Regulatory Reporting Team is a centralised, dedicated team within Operations that is responsible for producing and overseeing the following regulatory…
"
Data Analyst,Trustpilot,,London•Remote,"
You'll have tons of data available to you in our data warehouse at your fingertips, and you will work with the most cutting-edge analytical tools including…
"
Junior Analyst,Verisure Services (UK) Limited,"£28,000 a year",Victoria,"
Conduct data cleaning and quality audits to validate that the data collected is accurate.
Mobilise your data analytics experience to design data-driven…
"
