title,company,salary,location,summary
newCloud Security Analyst,Morgan Stanley,,Glasgow,"
? Hands-on experience with data analytics tools such as Splunk or Qlikview.
? Familiarity with sensitive data types/identifiers, classifications, tagging, etc.
"
Risk Analyst - Explorer Summer Intern Programme - 2022,Barclays,,Glasgow G2,"
We invite top-performing, eligible summer analysts to join us as a full-time analyst after graduation.
Join us as a summer analyst.
As a summer analyst you may:
"
Retail Banking Data & Analytics Analyst - Expert Summer Inte...,Barclays,,Glasgow,"
As a Summer Analyst, you’ll join the team that drive growth for our Retail businesses and gain opportunity to build a strong technical foundation and learn to…
"
newClient Reporting Analyst,CBRE,,Glasgow,"
Glasgow - Scotland - United Kingdom of Great Britain and Northern Ireland.
Working in the Real Estate Accounting Services team where the individual will be…
"
newBusiness Analyst - Investment Banking,CAPCO,,Glasgow,"
Joining Capco means joining an organisation that is committed to an inclusive working environment where you’re encouraged to #BeYourselfAtWork.
"
Business Data Analyst,Barclays,,Glasgow,"
Data modelling and data analysis skills in a data warehouse type environment.
Building and maintaining knowledge of data sources and what data is used by a…
"
Fraud and Error Risk Analysis and Control Officer,Scottish Government,"£26,995 - £29,776 a year",Glasgow,"
Analyse data to identify emerging risks whilst identifying appropriate controls and monitoring the effectiveness of these.
"
newBusiness Management Analyst,BNP Paribas,,Glasgow,"
Set clear, achievable plans for sourcing required data and frequently engage to ensure targets are met.
Store and manage key information and summarise complex…
"
Data Analyst,Mercer,,Glasgow G2,"
Undertake all aspects of the data cleanse process including data analysis, data cleanse, data reconciliation and issue resolution as well as the co-ordination…
"
Credit Risk Reporting Analyst,Barclays,,Glasgow G2,"
Building new and update existing risk reporting processes utilising primarily MSSQL& SAS code to handle data according to agreed risk data requirements.
"
Data Analyst - NHS,Meridian,"£26,104 - £32,913 a year",Glasgow G2,"
The manipulation of data files using a variety of software packages in preparation for further analysis.
We are currently looking for an experienced Informaton …
"
Test Analyst,Barclays,,Glasgow,"
Experience with NoSQL or big data solutions (Hadoop, MongoDB) and related technology.
As a Barclays Test Analyst in the Markets Risk team, you will be working…
"
Data and Reporting Analyst,Arcus FM,"£34,000 a year",Glasgow,"
Extensive experience in data analysis & reporting from multiple data sources and complex data sets.
Do you enjoy working with data?
Salary up to £34k.
"
"Business Analyst, Archives Technology and Services",BBC,,Glasgow G51 1DA,"
We are currently recruiting for a business analyst to come and work in our Product and Systems Team.
We are a multidisciplinary team including software and…
"
Customer Service Analyst,HarperCollins,,Glasgow G64 2QT,"
Identifying, analysing, and interpreting trends/patterns in data sets linking customer provided data with internal provided data.
"
"Product Analyst, RiskCenter Third Party",Dow Jones,,Glasgow,"
These business units are continually looking to develop innovative new products that will further serve our customer needs.
"
