,title,company,location,summary,mean_salary
0,lead data scientist (technical lead and team lead),Home Office,Sheffield,"ideally you will have a background in working with big data challenges and cloud-based technologies, and you will have some knowledge of creating apps, apis or…",57613.0
1,data scientist,Lumilinks,United Kingdom•Remote,"the science team at lumilinks is led by dr. tim drye, a renowned statistician, and data scientist.we’ve got massive plans to disrupt the data industry and we…",37500.0
2,text analyst / data scientist,Health & Safety Executive,Sheffield•Remote,"previous experience as a text analyst, data scientist, or other similar role.you’ll be part of an analytical team that works alongside other hse technical and…",42599.5
3,research associate in developing data-analytics/visualisatio...,University of Sheffield,Sheffield,insight from data generated in experiments and/or the process digital twin.are you interested in applying your data science expertise in industry 4.0 mrna…,36635.5
4,research associate in machine learning for medical image ana...,University of Sheffield,Sheffield,"learning software tool on our large-scale cardiac mri data from pulmonary hypertension patients to improve prognosis and.£32,344 - £40,927 per annum.",36635.5
5,data scientist (marketing analytics),Twinkl,Sheffield•Remote,"the twinkl growth marketing department values data-led decision-making, experimentation and incremental improvement; you’ll be joining an uncommonly data…",30000.0
6,data scientist,Methods Business and Digital Technology,Sheffield S1 2BJ,"produce high quality, efficient code for both data preparation and analysis, effectively collaborating with other data scientists to refine the approach.",45000.0
8,data scientist/ senior modelling analyst,Oscar Technology,Leeds,"ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.skills - python, sql, power bi,.",55000.5
11,data scientist,Lumilinks,United Kingdom•Remote,this job would suit a junior level data analyst/scientist with 2+ years sql and/or visualisation experience.you must have a keen interest in data understanding…,35000.0
12,text analyst / data scientist,Health & Safety Executive,Sheffield•Remote,"previous experience as a text analyst, data scientist, or other similar role.have worked in a data science field for a minimum of two years.",42599.5
13,research associate in developing data-analytics/visualisatio...,University of Sheffield,Sheffield,insight from data generated in experiments and/or the process digital twin.big-data analytics/visualisation tools to guide experimental efforts to synthesise…,36635.5
14,research associate in machine learning for medical image ana...,University of Sheffield,Sheffield,learning software tool on our large-scale cardiac mri data from pulmonary hypertension patients to improve prognosis and.,36635.5
15,data scientist (marketing analytics),Twinkl,Sheffield•Remote,"semrush, seomonitor and other seo-specific data sources.analytical mindset - as a consumer of data you’ll spend a lot of your time interpreting graphs, so a…",30000.0
18,data scientist/ senior modelling analyst,Oscar Technology,Leeds,"ensure that data from all sources are stored correctly allowing easy access for current needs as well as future use.salary - up to £55,000 plus 10% bonus.",55000.5
21,data scientist - day shift,NHS Test and Trace,Birmingham Spa,experience with database software and data analysis tools.proven track record in analysing and interpreting large data sets and statistical analysis.,33696.0
24,principal data scientist,National Grid,Birmingham CV34 6DA,significant experience using data science to deliver tangible benefits for organisations.experience in delivering both proof of concepts and production data…,50200.0
25,national supply chain analyst,Aldi,Birmingham CV9 2SQ,"data analysis, data maintenance, data representation.minimum graduate degree in data science, data analytics.ability to create business reports.",41200.0
27,data scientist - night shift,NHS Test and Trace,Birmingham Spa,experience with database software and data analysis tools.proven track record in analysing and interpreting large data sets and statistical analysis.,33696.0
29,senior data scientist,Harnham,Birmingham,experiment with new techniques aLondon data science to drive forward market-leading solutions and create premium data products.,72500.0
30,data scientist,Harnham,Coventry+1 location,this role requires a high standard of commercial experience as a data scientist.explore data sets to expand using different modelling approaches.,57500.0
31,data science manager,National Grid,Birmingham CV34 6DA,significant experience using data science to deliver tangible benefits for organisations.experience delivering both proof of concepts and production data…,56500.0
37,data scientist,University of Glasgow,Glasgow,"support senior data science manager and other centre staff in the acquisition of data from data owners; clean, link and otherwise curate the data.",38654.5
42,data scientist (digital storytelling engineer),University of Glasgow,Glasgow,"e2 significant experience of specifying, designing and implementing accessible, scalable data driven dashboards and/or interactive data interfaces.",38654.5
43,data scientist,MBN Recruitment Solutions,Glasgow•Remote,assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.write bespoke programs to automate the analysis of…,50000.5
46,big data developer,GROUP ENTERPRISES CIC,Glasgow G40 2QW•Temporarily Remote,understanding of data warehousing and data modelling techniques.help define data governance policies and support data versioning processes.,46710.5
49,lecturer/ senior lecturer/ reader in machine learning,University of Glasgow,Glasgow,"c6 extensive it and data analysis/interpretation skills.c3 excellent communication skills, with ability to communicate complex data/concepts clearly and…",56685.0
50,data scientist,Lumilinks,United Kingdom•Remote,"this job would suit an entry level data engineer or analyst with 2-3 years strong sql experience.you must have a keen interest in analytics and data, be…",37500.0
53,data scientist,Nigel Wright Group,Newcastle and Wear•Remote,conduct exploratory data analysis on new data sets and test if they improve accuracy/completeness.perform hypothesis testing to better understand data sets and…,50000.0
